subject_id,condition,region_name,mean_activation_na_m
sub-01,rest,Caudal Anterior Cingulate-lh,7.249403500263284e-10
sub-01,rest,Caudal Anterior Cingulate-rh,7.257574882115491e-10
sub-01,rest,Caudal Middle Frontal-lh,1.5185351410226664e-09
sub-01,rest,Caudal Middle Frontal-rh,1.5307926633139871e-09
sub-01,rest,Cuneus-lh,1.2652627560445773e-09
sub-01,rest,Cuneus-rh,8.30535305129961e-10
sub-01,rest,Entorhinal-lh,3.099852329464642e-10
sub-01,rest,Entorhinal-rh,3.0644894206512763e-10
sub-01,rest,Fusiform-lh,4.680752353061171e-10
sub-01,rest,Fusiform-rh,5.48865199946123e-10
sub-01,rest,Inferior Parietal-lh,1.1206706143574978e-09
sub-01,rest,Inferior Parietal-rh,1.0831317298942996e-09
sub-01,rest,Inferior temporal-lh,6.204532961568412e-10
sub-01,rest,Inferior temporal-rh,6.988023961313453e-10
sub-01,rest,Isthmus Cingulate-lh,7.277013092904809e-10
sub-01,rest,Isthmus Cingulate-rh,6.297313117433837e-10
sub-01,rest,Lateral Occipital-lh,7.246185328182106e-10
sub-01,rest,Lateral Occipital-rh,6.435445407410875e-10
sub-01,rest,Lateral Orbitofrontal-lh,7.075815493694323e-10
sub-01,rest,Lateral Orbitofrontal-rh,8.527553067673295e-10
sub-01,rest,Lingual-lh,5.409588626731522e-10
sub-01,rest,Lingual-rh,4.76032938836968e-10
sub-01,rest,Medial Orbitofrontal-lh,3.657732163083456e-10
sub-01,rest,Medial Orbitofrontal-rh,4.964565030756717e-10
sub-01,rest,Middle Temporal-lh,8.093817038707486e-10
sub-01,rest,Middle Temporal-rh,9.347042922004232e-10
sub-01,rest,Parahippocampal-lh,2.395779278454063e-10
sub-01,rest,Parahippocampal-rh,2.985624912165258e-10
sub-01,rest,Paracentral-lh,1.5332399165287403e-09
sub-01,rest,Paracentral-rh,1.3156707271258954e-09
sub-01,rest,Pars Opercularis-lh,9.523873619606175e-10
sub-01,rest,Pars Opercularis-rh,9.266152577592521e-10
sub-01,rest,Pars Orbitalis-lh,1.121693582805337e-09
sub-01,rest,Pars Orbitalis-rh,1.1583275842855728e-09
sub-01,rest,Pars Triangularis-lh,1.2745114548528023e-09
sub-01,rest,Pars Triangularis-rh,1.312157269743395e-09
sub-01,rest,Pericalcarine-lh,1.0316030871275375e-09
sub-01,rest,Pericalcarine-rh,7.312638203120596e-10
sub-01,rest,Postcentral-lh,9.904761883824482e-10
sub-01,rest,Postcentral-rh,1.0576598251620703e-09
sub-01,rest,Posterior Cingulate-lh,8.00412581016023e-10
